sampling_method,pos_init_num,num_annotated_samples,Mosquito_mean,Mosquito_std,Total_Mosquito,Red_Deer_mean,Red_Deer_std,Total_Red_Deer,Meerkat_alarm_call_mean,Meerkat_alarm_call_std,Total_Meerkat_alarm_call,Meerkat_move_call_mean,Meerkat_move_call_std,Total_Meerkat_move_call,Song_thrush_call_mean,Song_thrush_call_std,Total_Song_thrush_call,Blackbird_call_mean,Blackbird_call_std,Total_Blackbird_call,Pilot_whale_foraging_buzzes_mean,Pilot_whale_foraging_buzzes_std,Total_Pilot_whale_foraging_buzzes,Negative_mean,Negative_std,Total_Negative,valid_f1_mean,valid_f1_std,valid_cmap_mean,valid_cmap_std,test_f1_mean,test_f1_std,test_cmap_mean,test_cmap_std,full_valid_f1_mean,full_valid_f1_std,full_valid_cmap_mean,full_valid_cmap_std,full_test_f1_mean,full_test_f1_std,full_test_cmap_mean,full_test_cmap_std
rand,0,50,2.2,1.3,1207,2.8,1.64,1024,0.2,0.45,19,0.0,0.0,6,0.2,0.45,193,0.6,0.89,196,2.4,1.52,1089,41.6,1.52,17680,27.21,2.84,27.93,3.69,26.07,4.23,26.15,4.68,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,100,5.6,2.41,1207,5.0,3.61,1024,0.2,0.45,19,0.0,0.0,6,1.0,0.71,193,1.0,1.73,196,3.4,1.82,1089,83.8,3.63,17680,28.88,3.0,29.49,3.19,27.02,3.96,27.75,4.43,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,150,8.0,2.12,1207,6.6,4.04,1024,0.2,0.45,19,0.0,0.0,6,1.6,1.52,193,1.2,1.64,196,5.4,2.3,1089,127.0,5.87,17680,32.28,4.27,32.3,4.54,30.17,5.01,30.67,6.15,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,200,10.0,1.41,1207,9.4,4.51,1024,0.2,0.45,19,0.0,0.0,6,1.8,1.92,193,1.8,1.79,196,8.2,2.68,1089,168.6,5.94,17680,34.3,4.2,34.63,4.42,32.63,4.59,32.64,5.29,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,250,14.0,1.87,1207,12.2,5.36,1024,0.2,0.45,19,0.0,0.0,6,2.0,2.0,193,2.0,1.87,196,10.6,3.36,1089,209.0,6.89,17680,37.3,4.47,37.68,4.36,35.2,5.04,35.36,5.46,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,300,16.2,2.05,1207,15.4,5.94,1024,0.6,0.55,19,0.0,0.0,6,2.4,1.95,193,2.4,1.82,196,14.0,2.92,1089,249.0,6.96,17680,42.29,6.56,43.23,7.46,39.17,5.65,40.16,6.66,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,350,18.8,1.3,1207,19.0,6.24,1024,1.0,1.22,19,0.0,0.0,6,2.8,2.17,193,3.4,1.52,196,16.0,3.32,1089,289.0,8.09,17680,45.36,7.73,45.86,8.54,43.16,6.83,43.48,7.59,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,400,22.2,2.77,1207,20.8,6.83,1024,1.0,1.22,19,0.0,0.0,6,3.6,2.41,193,3.6,1.82,196,17.4,3.05,1089,331.4,8.02,17680,45.12,5.74,46.17,6.2,43.67,6.04,44.24,6.12,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,450,24.8,4.55,1207,23.8,7.92,1024,1.0,1.22,19,0.0,0.0,6,4.0,2.74,193,4.0,1.58,196,19.6,1.95,1089,372.8,8.07,17680,48.29,6.45,48.01,6.67,45.48,6.33,45.77,6.68,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
rand,0,500,28.2,4.02,1207,25.6,8.2,1024,1.2,1.3,19,0.0,0.0,6,4.2,2.86,193,5.2,2.17,196,22.6,1.82,1089,413.0,7.45,17680,49.66,6.43,50.67,7.07,47.65,6.64,48.2,6.35,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
mp,0,50,3.0,1.22,1207,1.8,1.3,1024,0.0,0.0,19,0.0,0.0,6,0.2,0.45,193,0.4,0.55,196,2.8,1.3,1089,41.8,2.59,17680,20.93,1.52,20.45,1.8,19.43,1.4,18.96,1.24,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
mp,0,100,13.8,8.38,1207,4.0,3.32,1024,0.0,0.0,19,0.0,0.0,6,0.2,0.45,193,0.4,0.55,196,15.0,6.2,1089,66.6,8.96,17680,27.46,2.25,28.04,2.47,25.01,2.49,25.66,1.91,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
mp,0,150,32.6,15.18,1207,6.8,2.68,1024,0.0,0.0,19,0.0,0.0,6,0.2,0.45,193,0.4,0.55,196,23.6,6.66,1089,86.4,9.18,17680,31.19,1.54,32.19,1.12,28.51,1.02,29.44,1.28,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
mp,0,200,37.6,11.67,1207,12.6,3.51,1024,0.4,0.55,19,0.0,0.0,6,0.4,0.89,193,0.4,0.55,196,28.4,6.15,1089,120.2,5.72,17680,32.4,1.83,37.15,6.1,31.09,2.42,33.82,5.06,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
mp,0,250,46.2,22.02,1207,16.4,5.77,1024,1.6,2.3,19,0.2,0.45,6,0.4,0.89,193,0.4,0.55,196,32.4,10.29,1089,152.4,15.27,17680,36.98,5.08,39.03,5.78,34.68,4.7,37.23,7.14,66.01,4.06,72.13,1.02,67.55,5.7,75.48,1.76
